country,year,gender,age,suicides_no,population,suicides/100k pop,gdp_for_year,gdp_per_capita,hdi_for_year,total_suicides_year,total_population_year,suicides_to_population_ratio,suicides_to_population_ratio_discretize,gdp_category,gender_encoded,suicides_no_zscore,population_zscore,suicides_to_population_ratio_zscore,gdp_for_year_zscore,gdp_per_capita_zscore,hdi_for_year_zscore,total_suicides_year_category
Albania,1992,male,15-24 years,9,263700,3.41,709452584,251,0.619,47,2822500,3.4129692832764505e-05,Medium,Low,1,1.2949445849700705,0.258935406369487,1.3668881215042614,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
Albania,1992,male,55-74 years,5,159500,3.13,709452584,251,0.619,47,2822500,3.134796238244514e-05,Medium,Low,1,0.2759717967969003,-0.6880456761821557,1.1680815948490006,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
Albania,1992,male,25-34 years,7,245500,2.85,709452584,251,0.619,47,2822500,2.8513238289205706e-05,Medium,Low,1,0.7854581908834853,0.0935318007798526,0.9654876839478868,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
Albania,1992,female,15-24 years,7,292400,2.39,709452584,251,0.619,47,2822500,2.3939808481532148e-05,Medium,Low,0,0.7854581908834853,0.5197641690300642,0.6386308186966793,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
Albania,1992,female,25-34 years,4,267400,1.5,709452584,251,0.619,47,2822500,1.4958863126402392e-05,Low,Low,0,0.0212285997536077,0.2925614140992478,-0.0032252432122158,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
Albania,1992,female,35-54 years,2,323100,0.62,709452584,251,0.619,47,2822500,6.190034045187248e-06,Very Low,Low,0,-0.4882577943329773,0.7987691520851067,-0.6299216408699689,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
Albania,1992,female,55-74 years,1,164900,0.61,709452584,251,0.619,47,2822500,6.064281382656155e-06,Very Low,Low,0,-0.7430009913762698,-0.6389698811170994,-0.6389090141981746,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
Albania,1992,female,5-14 years,0,336700,0.0,709452584,251,0.619,47,2822500,0.0,,Low,0,-0.9977441884195624,0.9223674507674708,-1.0723150324583617,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
Albania,1992,female,75+ years,0,38700,0.0,709452584,251,0.619,47,2822500,0.0,,Low,0,-0.9977441884195624,-1.7858893880078606,-1.0723150324583617,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
Albania,1992,male,5-14 years,0,362900,0.0,709452584,251,0.619,47,2822500,0.0,,Low,1,-0.9977441884195624,1.1604759379349665,-1.0723150324583617,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
Albania,1992,male,75+ years,0,23900,0.0,709452584,251,0.619,47,2822500,0.0,,Low,1,-0.9977441884195624,-1.920393418926904,-1.0723150324583617,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
Albania,1993,male,15-24 years,18,243300,7.4,1228071038,437,0.619,73,2807300,7.398273736128237e-05,Very High,Low,1,2.326202893009184,0.0847513265131476,2.2882853836013526,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
Albania,1993,male,55-74 years,7,165000,4.24,1228071038,437,0.619,73,2807300,4.242424242424242e-05,High,Low,1,0.1789386840776295,-0.6243523813386197,0.7463762206993572,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
